Tweet,emotiom_raw
"Ansiosa y estresada estoy y no tengo tiempo para nada... pero bueno, esta ha sido mi pequeña reflexión de hoy😊 (tmb es xq me estoy leyendo +",fear~~joy
La verdad que azco me da que manchen algo tan lindo y encima lo hizo de resentido por que tienen un video de el garchando con un traba,anger~~disgust
"Camila no dejaba de reírse, terrible😂",anger~~joy
"Estoy un poco deprimido, me acordé de cosas que me hicieron en mi pasado que aún no logro superar pero me ayudaron a ser mejor persona 💔🤨",anger~~sadness
"Se la dan de hombrecitos y mujercitas en Yodel, bien que si te tienen en frente no le dan los huevos para decirte las cosas, q pena dan ajaj",anger~~joy
Para que me hablas si dices que te amargo !? 🙄🙄 ni modo ya bye alv,anger~~disgust
"""Aquí lo que importa eres tú"" #ironía??",anger~~disgust
fandom de st sufre miedo al votar por su idolo My #TeenChoice vote for #ChoiceBreakoutTvStar is Finn Wolfhard @FinnSkata #StrangerThings,fear~~sadness
"@ArturoVilla_ @InakoDiazGuerra Con todo los estudios que presumes, no sabes hablar sin insultar?",anger~~disgust
"Me gustaría tomarte en serio, pero hacerlo seria ofender tu inteligencia.",anger~~disgust
Que horror jamás sentirte suficiente,anger~~fear
